model,learned,rounds,num_states,num_inputs,learn_inputs,learn_resets,test_inputs,test_resets,algorithm,seed
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,276,82,1288,108,LSharp_Nothing_SepSeq,-990782796
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,276,81,2258,142,LSharp_Nothing_SepSeq,-1935722726
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,352,96,1516,109,LSharp_Nothing_SepSeq,-1552823106
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,314,88,959,78,LSharp_Nothing_SepSeq,586579864
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,287,83,1908,146,LSharp_Nothing_SepSeq,-568703485
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,289,84,4487,326,LSharp_Nothing_SepSeq,-392441975
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,281,82,2788,238,LSharp_Nothing_SepSeq,-1075798420
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,281,82,2904,246,LSharp_Nothing_SepSeq,1523601693
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,289,84,710,54,LSharp_Nothing_SepSeq,-2122755288
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,331,92,1769,148,LSharp_Nothing_SepSeq,597441518
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,272,79,753,74,LSharp_Nothing_SepSeq,-674502888
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,292,85,2340,206,LSharp_Nothing_SepSeq,630077161
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,298,82,1885,163,LSharp_Nothing_SepSeq,-1098392194
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,326,89,1105,96,LSharp_Nothing_SepSeq,-1989810016
OpenSSL_1.0.1j_client_regular.dot,true,4,6,7,349,92,767,60,LSharp_Nothing_SepSeq,-792248702
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,276,81,1461,124,LSharp_Nothing_SepSeq,1940657131
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,334,91,382,32,LSharp_Nothing_SepSeq,377258757
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,287,84,3047,267,LSharp_Nothing_SepSeq,-2101334458
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,286,83,1794,139,LSharp_Nothing_SepSeq,-108430619
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,275,81,575,53,LSharp_Nothing_SepSeq,1097074432
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,279,82,2639,201,LSharp_Nothing_SepSeq,2101993050
